鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
三重區,建物,新北市三重區重新路二段31~60號,0.0,住,,,1090728,土地0建物1車位1,六層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970703,126.24000000000001,2,2,1,有,有,有,30000,238,坡道機械,0.0,0,,RPUQMLTLPHPFFGF97CC
蘆洲區,建物,新北市蘆洲區三民路61~90號,0.0,住,,,1090716,土地0建物1車位0,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0921119,86.49000000000001,2,2,1,有,有,有,24500,283,,0.0,0,租金含管理費。,RPURMLKMPHPFFGF27CC
三重區,建物,新北市三重區成功路1~30號,0.0,商,,,1090715,土地0建物1車位0,七層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0820903,85.0,3,1,2,有,有,有,19900,234,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為22213，因新北市計劃租金上限為22500，選擇代租方案須打九折且簽約租金無條件捨去至百分位，實際租賃契約金額19900。,RPOSMLKMPHPFFGF76CC
蘆洲區,建物,新北市蘆洲區三民路361~390號,0.0,其他,,,1090729,土地0建物1車位0,十二層,21,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040409,80.0,2,2,1,有,有,有,26000,325,,0.0,0,,RPUSMLKMPHPFFGF37CC
板橋區,建物,新北市板橋區文化路一段151~180號,0.0,住,,,1090716,土地0建物1車位0,見其他登記事項,3,店面(店鋪),住家用,加強磚造,0760124,140.19,0,3,3,有,無,無,56000,399,,0.0,0,含增建或未登記建物。;租賃期間含免租金裝潢期。,RPSNMLKMPHPFFAF68CC
土城區,建物,新北市土城區中央路四段241~270號,0.0,住,,,1090715,土地0建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040908,192.01999999999998,3,2,3,有,有,有,25000,130,,0.0,0,,RPUNMLKMPHPFFAF88CC
土城區,房地(土地+建物),新北市土城區大暖路1~30號,196.82,工,,,1090729,土地1建物1車位0,一層,2,廠辦,工商用,鋼筋混凝土造,0750816,151.55,0,0,0,無,無,無,47500,313,,0.0,0,,RPOOMLKMPHPFFAF38CC
板橋區,建物,新北市板橋區國慶路149巷29弄1~30號,0.0,住,,,1090718,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720325,73.17,2,2,1,有,無,有,16000,219,,0.0,0,,RPSRMLKMPHPFFAF09CC
新店區,房地(土地+建物),新北市新店區德正街17巷1~30號,133.78,住,,,1090718,土地1建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670707,102.99,3,2,3,有,無,有,28000,272,,0.0,0,,RPOQMLKMPHPFFCF78CC
汐止區,建物,新北市汐止區連興街61~90號,0.0,商,,,1090729,土地0建物1車位0,八層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850814,83.02,2,2,1,有,有,無,19000,229,,0.0,0,,RPRQMLKMPHPFFDF56CC
