鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
三民區,建物,高雄市三民區歸綏街151~180號,0.0,住,,,1090724,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0730810,85.59,3,2,2,有,無,有,9000,105,,0.0,0,高雄市政府包租代管計畫,RPPRMLRLPHPFFDE96CC
三民區,房地(土地+建物),高雄市三民區覺民路211~240號,162.9,住,,,1090710,土地4建物2車位0,全,5,透天厝,,鋼筋混凝土造,0731228,323.34,5,0,5,有,無,無,75000,232,,0.0,0,,RPPTMLRLPHPFFDE17CC
燕巢區,建物,高雄市燕巢區橫山路91~120號,0.0,,特定農業區,甲種建築用地,1090723,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070820,30.26,1,0,1,有,無,有,5800,192,,0.0,0,面馬路採光好,RPWNMLRLPHPFFFE47CC
岡山區,房地(土地+建物)+車位,高雄市岡山區仁義路61~90號,36.22,住,,,1090725,土地1建物1車位1,十四層,,住宅大樓(11層含以上有電梯),,,,116.14,4,2,2,有,無,有,12000,103,坡道平面,0.11,0,,RPXNMLRLPHPFFFE57CC
新興區,房地(土地+建物),高雄市新興區民生一路31~60號,14.16,商,,,1090722,土地1建物1車位0,十六層,25,辦公商業大樓,商業用,鋼筋混凝土造,0810915,260.11,0,0,0,無,無,有,35000,135,,0.0,0,,RPSNMLRLPHPFFBE66CC
苓雅區,房地(土地+建物),高雄市苓雅區苓雅二路189巷1~30號,7.13,商,,,1090704,土地1建物1車位0,十層,15,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1081014,77.77,2,2,1,有,有,有,17000,219,,0.0,0,,RPTNMLRLPHPFFBE76CC
苓雅區,車位,高雄市苓雅區新光路62巷1~30號,0.0,商,,,1090717,土地0建物0車位1,,,其他,,,,0.0,0,0,0,有,有,無,2000,,坡道平面,12.65,2000,,RPUNMLRLPHPFFBE86CC
苓雅區,車位,高雄市苓雅區新光路62巷1~30號,0.0,商,,,1090719,土地0建物0車位1,,,其他,,,,0.0,0,0,0,有,有,無,1900,,坡道平面,14.65,1900,,RPVNMLRLPHPFFBE96CC
苓雅區,建物,高雄市苓雅區中正二路151~180號,0.0,商,,,1090724,土地0建物1車位0,七層,12,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0690320,90.49,3,2,2,有,有,有,13500,149,,0.0,0,高雄市政府包租代管計畫,RPWNMLRLPHPFFBE07CC
苓雅區,車位,高雄市苓雅區新光路62巷1~30號,0.0,商,,,1090719,土地0建物0車位1,,,其他,,,,0.0,0,0,0,有,有,無,1800,,坡道平面,12.65,1800,,RPXNMLRLPHPFFBE17CC
