sna, tot, sbi, lat, lng, bemp, act, sno, sarea, mday, ar, sareaen, snaen, aren 
 環中東永福路口, 44, 26, 24.962030, 121.255168, 17, 1, 2070, 中壢區, 20200817231728, 環中東路325號前人行道, Zhongli Dist., Huanzhong E. & Yongfu Rd. Intersection, No.325, Huanzhong E. Rd. 
 南崁高中, 34, 14, 25.052456, 121.297856, 19, 1, 2071, 蘆竹區, 20200817231627, 仁愛路二段1號(南崁高中旁人行道), Luzhu Dist., Nankan Senior High School, No.1, Sec. 2, Ren’ai Rd. 
 蘆竹區婦幼館, 36, 12, 25.050733, 121.293711, 22, 1, 2072, 蘆竹區, 20200817231733, 五福路88號對面婦幼館人行道, Luzhu Dist., Luzhu Maternity and Child Center, No.88, Wufu Rd.(opposite) 
 光明河濱公園, 36, 15, 25.046808, 121.287677, 19, 1, 2073, 蘆竹區, 20200817231729, 光明路二段100號對面路側, Luzhu Dist., Guangming Riverside Park, No.100, Sec. 2, Guangming Rd.(opposite) 
 開南大學, 56, 22, 25.011106, 121.269685, 34, 1, 2074, 蘆竹區, 20200817231721, 開南路1號(行政大樓南棟前停車場), Luzhu Dist., Kainan University, No.1, Kainan Rd. 
 蘆竹吉林公園, 44, 18, 25.049560, 121.299397, 26, 1, 2075, 蘆竹區, 20200817231723, 吉林路121-137號對面吉林公園旁人行道, Luzhu Dist., Luzhu Jilin Park, No.121-137, Jilin Rd.(opposite) 
 大和休閒廣場, 36, 0, 24.955938, 121.298334, 31, 1, 2076, 八德區, 20200601101538, 銀和街83號對面公園人行道, Bade Dist., Dahe Square, No.83, Yinhe St.(opposite) 
 月眉停車場, 50, 7, 24.889279, 121.287613, 42, 1, 2077, 大溪區, 20200817231737, 月眉15鄰105號, Daxi Dist., Yuemei Parking Lot, No.105, Yuemei 
 大溪中正公園, 44, 24, 24.883151, 121.285453, 19, 1, 2078, 大溪區, 20200817231726, 普濟路80號旁停車場, Daxi Dist., Daxi Zhongzheng Park, No.80, Puji Rd. 
 忠孝兒童遊樂場, 58, 40, 24.986849, 121.294739, 17, 1, 2079, 桃園區, 20200817231738, 宏昌七街泰昌三街西南側廣場, Taoyuan Dist., Zhongxiao Children's Playground, Hongchang 7th St./Taichang 3rd St. 
 桃園市政府, 74, 7, 24.992799, 121.301680, 67, 1, 2080, 桃園區, 20200817231744, 縣府路3號對面廣場, Taoyuan Dist., Taoyuan City Government, No.3, Xianfu Rd.(opposite) 
 五權公園, 42, 25, 24.958867, 121.204579, 15, 1, 2081, 中壢區, 20200817231742, 正大街五族二街西北側人行道, Zhongli Dist., Wuquan Park, Zhengda St./Wuzu 2nd St. 
