"addr","lat","long"
"桃園市桃園區保定三街89巷31號","24.99694042","121.29828163"
"桃園市中壢區後興路一段90巷31號","24.942748","121.247771"
"桃園市觀音區長春街1號","25.050313","121.117509"
"桃園市中壢區永泰路91號","25.00978642","121.20282063"
"桃園市觀音區保障段631號","25.03653798","121.08201878"
"桃園市觀音區新坡段1141號","25.03653798","121.08201878"
"桃園市中壢區九和一街1號","24.96186","121.22324"
"桃園市觀音區正大路58巷1號","25.004288","121.14838903"
"桃園市中壢區華美一路29巷1號","24.957058","121.262638"
"桃園市中壢區中北路二段208巷31號","24.952023","121.228198"
"桃園市中壢區領航南路四段1號","25.017886","121.223897"
"桃園市中壢區領航南路四段31號","25.015711","121.220949"
"桃園市中壢區領航南路三段241號","25.011509","121.22077"
"桃園市中壢區華勛街303巷1號","24.947926","121.260532"
"桃園市中壢區長樂四街31號","24.976508","121.249088"
"桃園市楊梅區大平段541號","24.90767527","121.14575321"
"桃園市楊梅區大平段541號","24.90767527","121.14575321"
"桃園市楊梅區東流段31號","24.90767527","121.14575321"
"桃園市新屋區東福路二段499巷227弄1號","24.948937","121.024046"
"桃園市新屋區民有三路511號","24.97405","121.02683"
"桃園市楊梅區中山北路一段390巷45弄31號","24.910892","121.157298"
"桃園市新屋區榔段下號","24.97248034","121.10548076"
"桃園市楊梅區草湳坡段草湳坡小段91號","24.90767527","121.14575321"
"桃園市楊梅區草湳坡段草湳坡小段91號","24.90767527","121.14575321"
"桃園市楊梅區新梅七街91號","24.915215","121.143353"
"桃園市楊梅區高榮段331號","24.90767527","121.14575321"
"桃園市楊梅區瑞溪路一段182巷1號","24.906926","121.172095"
"桃園市楊梅區文化街181號","24.912456","121.183955"
"桃園市龍潭區烏林村中央街179巷1號","24.882154","121.205564"
"桃園市大溪區南興路一段31號","24.901975","121.265083"
"桃園市龍潭區民生路141巷74弄31號","24.845364","121.22749"
"桃園市大溪區康安段301號","24.88063316","121.28702893"
"桃園市龍潭區干城路30巷31號","24.869145","121.208778"
"桃園市大溪區瑞安段61號","24.88063316","121.28702893"
"桃園市龍潭區成功段181號","24.86394012","121.21629828"
"桃園市龍潭區中豐路461巷106弄1號","24.88303742","121.20835363"
"桃園市龍潭區中興路336巷79弄1號","24.875688","121.232516"
"桃園市中壢區大仁二街1號","24.954449","121.242134"
"桃園市觀音區大潭里大潭1號","25.03653798","121.08201878"
"桃園市中壢區春德路271號","25.01397142","121.21122463"
"桃園市中壢區強國路1號","24.967302","121.260152"
"桃園市中壢區大享段331號","24.96563047","121.22513412"
"桃園市觀音區廣興段811號","25.03653798","121.08201878"
"桃園市中壢區興仁路二段1號","24.96827","121.26282"
"桃園市中壢區青埔路二段325巷1號","25.004156","121.21847"
"桃園市中壢區興福街31號","24.966926","121.22851"
"桃園市中壢區七和一街91號","24.963757","121.226389"
"桃園市中壢區七和一街91號","24.963757","121.226389"
"桃園市中壢區七和一街91號","24.963757","121.226389"
"桃園市觀音區廣大段181號","25.03653798","121.08201878"
"桃園市中壢區高鐵南路二段271號","25.002499","121.205092"
"桃園市中壢區正光二街1號","24.960716","121.204983"
"桃園市中壢區大智街1號","24.953305","121.241122"
"桃園市觀音區二聖路9巷1號","25.038964","121.143588"
"桃園市中壢區青商路271號","25.012742","121.222709"
"桃園市中壢區青埔五街61號","25.005707","121.221759"
"桃園市中壢區成章一街1號","24.97703","121.259529"
"桃園市中壢區青平段331號","24.96563047","121.22513412"
"桃園市中壢區青商路241號","25.012742","121.222709"
"桃園市中壢區三座屋段舊社小段121號","24.96563047","121.22513412"
"桃園市中壢區石頭段1號","24.96563047","121.22513412"
"桃園市中壢區中園路31號","24.965212","121.236174"
"桃園市中壢區普義段751號","24.96563047","121.22513412"
"桃園市中壢區元化路331號","24.962428","121.224222"
"桃園市中壢區華仁一街19巷1號","24.945057","121.260724"
"桃園市中壢區中園路1號","24.96466","121.236277"
"桃園市觀音區十全路1號","25.039158","121.139654"
"桃園市觀音區忠富路富源段142巷1號","24.97725","121.141539"
"桃園市龜山區文化五路211號","25.05245","121.364817"
"桃園市龜山區華美街121號","24.997545","121.354932"
"桃園市龜山區南祥路91號","25.047749","121.299792"
"桃園市龜山區頂湖段991號","24.99267322","121.3377571"
"桃園市桃園區中華路61號","24.990723","121.310448"
"桃園市桃園區春日路631號","24.991921","121.317452"
"桃園市桃園區中路五段541號","24.99387997","121.30190407"
"桃園市桃園區春日路1471號","25.02182","121.30735"
"桃園市桃園區民富十三街1號","25.012494","121.320319"
"桃園市桃園區中正路1386巷1號","25.022597","121.295959"
"桃園市桃園區興一街91號","25.014813","121.315588"
"桃園市桃園區同安街183巷1弄1號","25.014797","121.303548"
"桃園市桃園區朝陽街一段91號","24.99456","121.313811"
"桃園市大溪區慈康路155巷1號","24.869865","121.28997"
"桃園市大溪區東隆段2041號","24.88063316","121.28702893"
"桃園市大溪區瑞安段61號","24.88063316","121.28702893"
"桃園市桃園區桃二街61號","24.995913","121.31817"
"桃園市中壢區興南段公坡小段601號","24.96563047","121.22513412"
"桃園市觀音區茄苳坑段對面厝小段1171號","25.03653798","121.08201878"
"桃園市觀音區新生路1531號","25.042532","121.14345"
"桃園市觀音區廣興段1141號","25.03653798","121.08201878"
"桃園市中壢區福嶺路95巷66弄1號","24.966795","121.173171"
"桃園市觀音區草漯段481號","25.03653798","121.08201878"
"桃園市中壢區聖德路二段361號","25.025242","121.194776"
"桃園市中壢區興南段中壢老小段211號","24.96563047","121.22513412"
"桃園市觀音區中山路一段739巷31號","25.03231342","121.09976663"
"桃園市龜山區光明街248巷65弄1號","25.012901","121.34288"
"桃園市龜山區樂宮街1號","24.993387","121.335226"
"桃園市龜山區長壽路269巷1號","24.999188","121.339477"
"桃園市龜山區光路千禧新城1號","24.99267322","121.3377571"
"桃園市龜山區體大段31號","24.99267322","121.3377571"
"桃園市龜山區長壽路211號","24.999928","121.340288"
"桃園市平鎮區中豐路南勢二段90巷1號","24.917747","121.210582"
"桃園市平鎮區南平路121號","24.919319","121.207981"
"桃園市平鎮區關爺北路36巷1號","24.931454","121.218039"
"桃園市平鎮區延平路三段104巷3弄1號","24.940538","121.203571"
"桃園市平鎮區關爺西路31號","24.930984","121.217818"
"桃園市平鎮區金陵路三段150巷151號","24.925416","121.223386"
"桃園市平鎮區新北段1501號","24.94570169","121.21823451"
"桃園市平鎮區北興段871號","24.94570169","121.21823451"
"桃園市平鎮區正義路41巷1號","24.929941","121.221176"
"桃園市平鎮區平東路666巷1號","24.912895","121.239926"
"桃園市平鎮區德育路二段121號","24.94251342","121.21937463"
"桃園市八德區仁德路61號","24.934894","121.287607"
"桃園市八德區介壽路二段685巷50弄38衖1號","24.938048","121.299103"
"桃園市八德區忠勇街331號","24.965399","121.303338"
"桃園市八德區忠勇七街1號","24.92893097","121.28463376"
"桃園市八德區永豐段931號","24.92893097","121.28463376"
"桃園市八德區開隆街1號","24.973708","121.274219"
"桃園市八德區豐德路241號","24.925071","121.289372"
"桃園市八德區豐德路241號","24.925071","121.289372"
"桃園市八德區和平路991巷58弄61號","24.964659","121.320187"
"桃園市八德區忠勇五街1號","24.967402","121.304681"
"桃園市八德區大和路91號","24.95409","121.2961"
"桃園市八德區豐德路241號","24.925071","121.289372"
"桃園市八德區豐德路241號","24.925071","121.289372"
"桃園市八德區豐德路241號","24.925071","121.289372"
"桃園市八德區中正一路121號","24.930138","121.283159"
"桃園市八德區中正一路121號","24.930138","121.283159"
"桃園市大園區福德路91號","25.07449","121.256805"
"桃園市蘆竹區南福街61號","25.042033","121.292243"
"桃園市大園區和平段931號","25.06384279","121.19558068"
"桃園市大園區竹圍段海方厝小段331號","25.06384279","121.19558068"
"桃園市大園區沙崙段埔頂小段61號","25.06384279","121.19558068"
"桃園市大園區客運一段361號","25.06384279","121.19558068"
"桃園市大園區沙崙段後厝小段31號","25.06384279","121.19558068"
"桃園市蘆竹區光明路二段31號","25.04558242","121.28763963"
"桃園市蘆竹區光明路二段31號","25.04558242","121.28763963"
"桃園市蘆竹區光明路二段31號","25.04558242","121.28763963"
"桃園市蘆竹區蘆興段751號","25.04693352","121.29508445"
"桃園市大園區文興街91號","25.053659","121.17801"
"桃園市蘆竹區南山路一段61號","25.051903","121.291336"
"桃園市大園區埔心段埔心小段511號","25.06384279","121.19558068"
"桃園市大園區竹圍段崁下小段31號","25.06384279","121.19558068"
"桃園市大園區埔心段三塊厝小段631號","25.06384279","121.19558068"
"桃園市大園區大牛稠段倒厝子小段811號","25.06384279","121.19558068"
"桃園市蘆竹區上興路1號","25.020647","121.266544"
"桃園市大園區橫山段尖山小段61號","25.06384279","121.19558068"
"桃園市蘆竹區坑子口段頭前小段121號","25.04693352","121.29508445"
"桃園市蘆竹區五福一路91號","25.055949","121.294922"
"桃園市蘆竹區南華段91號","25.04693352","121.29508445"
"桃園市大園區竹圍段海方厝小段361號","25.06384279","121.19558068"
"桃園市大園區沙崙段坡堵小段541號","25.06384279","121.19558068"
"桃園市大園區竹圍段田寮小段721號","25.06384279","121.19558068"
"桃園市大園區沙崙段沙崙小段2101號","25.06384279","121.19558068"
"桃園市大園區圳股頭段圳股頭小段361號","25.06384279","121.19558068"
"桃園市大園區竹圍段三塊石小段271號","25.06384279","121.19558068"
"桃園市大園區竹圍段崁下小段1號","25.06384279","121.19558068"
"桃園市大園區竹圍段三塊石小段1141號","25.06384279","121.19558068"
"桃園市蘆竹區坑子口段頭前小段601號","25.04693352","121.29508445"
"桃園市大園區大牛稠段倒厝子小段1261號","25.06384279","121.19558068"
"桃園市蘆竹區南順一街2巷1號","25.039845","121.285921"
"桃園市大園區五塊厝段下埔小段931號","25.06384279","121.19558068"
"桃園市大園區內海墘段特工區小段31號","25.06384279","121.19558068"
"桃園市大園區民權路3巷31號","25.07878142","121.18402063"
"桃園市大園區埔心段海豐坡小段271號","25.06384279","121.19558068"
"桃園市大園區大牛稠段大牛稠小段211號","25.06384279","121.19558068"
"桃園市蘆竹區奉化路151號","25.039088","121.28993"
"桃園市大園區橫山段湳子小段121號","25.06384279","121.19558068"
"桃園市大園區埔心段埔心小段931號","25.06384279","121.19558068"
"桃園市蘆竹區八股段421號","25.04693352","121.29508445"
"桃園市大園區埔心段海豐坡小段391號","25.06384279","121.19558068"
"桃園市大園區圳股頭段圳股頭小段451號","25.06384279","121.19558068"
"桃園市大園區大牛稠段大牛稠小段691號","25.06384279","121.19558068"
"桃園市大園區大牛稠段倒厝子小段1171號","25.06384279","121.19558068"
"桃園市大園區竹圍段崁下小段31號","25.06384279","121.19558068"
"桃園市大園區竹圍段崁腳小段1號","25.06384279","121.19558068"
"桃園市蘆竹區蘆興段811號","25.04693352","121.29508445"
"桃園市大園區園航路391號","25.05725","121.175634"
"桃園市大園區大牛稠段倒厝子小段361號","25.06384279","121.19558068"
"桃園市大園區埔心段海豐坡小段1051號","25.06384279","121.19558068"
"桃園市大園區大觀路1156巷8弄31號","25.056042","121.158198"
"桃園市大園區大觀路1156巷8弄31號","25.056042","121.158198"
"桃園市大園區竹圍段三塊石小段1381號","25.06384279","121.19558068"
"桃園市大園區竹圍段三塊石小段1381號","25.06384279","121.19558068"
"桃園市大園區竹圍段三塊石小段1381號","25.06384279","121.19558068"
"桃園市大園區竹圍段三塊石小段1411號","25.06384279","121.19558068"
"桃園市大園區竹圍段三塊石小段1411號","25.06384279","121.19558068"
"桃園市大園區竹圍段三塊石小段1411號","25.06384279","121.19558068"
"桃園市大園區竹圍段三塊石小段1411號","25.06384279","121.19558068"
"桃園市蘆竹區南竹路一段121號","25.045641","121.289058"
"桃園市大園區橫山段湳子小段151號","25.06384279","121.19558068"
"桃園市大園區竹圍段拔子林小段91號","25.06384279","121.19558068"
"桃園市蘆竹區南崁廟口段營盤坑小段61號","25.04693352","121.29508445"
"桃園市大園區中山北路158巷1號","25.067871","121.196233"
"桃園市楊梅區東流段211號","24.90767527","121.14575321"
"桃園市楊梅區啟明段961號","24.90767527","121.14575321"
"桃園市楊梅區啟明段961號","24.90767527","121.14575321"
"桃園市楊梅區梅獅路二段181號","24.906993","121.177235"
