,鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,address,longitude,latitude,floor
0,The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,addr,lat,long,floor
332,平鎮區,房地(土地+建物),關爺北路36巷1~30號,18.65,,鄉村區,乙種建築用地,1090729,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700807,85.53,3,2,2,有,無,3300000,38583,,0.0,0,,RPOOMLRKQHPFFGH07DA,85.53,0.0,0.0,無,桃園市平鎮區關爺北路36巷1號,24.931454,121.218039,5
333,平鎮區,房地(土地+建物),延平路三段104巷3弄1~30號,141.69,其他,,,1090717,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0861110,208.81,4,3,4,有,有,10800000,51722,,0.0,0,,RPXNMLMKQHPFFGH37DA,189.87,0.0,18.94,無,桃園市平鎮區延平路三段104巷3弄1號,24.940538,121.203571,4
334,平鎮區,房地(土地+建物),關爺西路31~60號,16.84,,鄉村區,乙種建築用地,1090701,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701218,73.65,3,2,1,有,無,2500000,33944,,0.0,0,,RPQOMLMKQHPFFGH76DA,73.65,0.0,0.0,無,桃園市平鎮區關爺西路31號,24.930984,121.217818,5
335,平鎮區,房地(土地+建物)+車位,金陵路三段150巷151~180號,33.13,,鄉村區,乙種建築用地,1081012,土地1建物1車位1,五層,六層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090424,154.18,3,2,1,有,有,6340000,45268,坡道平面,27.38,600000,,RPPNMLKLQHPFFGH09DA,78.18,6.35,6.19,有,桃園市平鎮區金陵路三段150巷151號,24.925416,121.223386,6
336,平鎮區,土地,新北段1501~1530地號,0.83,,鄉村區,乙種建築用地,1081012,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14000,0,,0.0,0,,RPQNMLKLQHPFFGH56DA,0.0,0.0,0.0,無,桃園市平鎮區新北段1501號,24.94570169,121.21823451,
337,平鎮區,土地,北興段871~900地號,503.11,其他,,,1090429,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9890000,19658,,0.0,0,,RPUNMLKLQHPFFGH96DA,0.0,0.0,0.0,無,桃園市平鎮區北興段871號,24.94570169,121.21823451,
338,平鎮區,房地(土地+建物),正義路41巷1~30號,61.99,,特定農業區,甲種建築用地,1090804,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0701230,97.66,3,3,2,有,無,1399204,14327,,0.0,0,其他增建;,RPUNMLLLQHPFFGH07DA,97.66,0.0,0.0,無,桃園市平鎮區正義路41巷1號,24.929941,121.221176,2
339,平鎮區,房地(土地+建物),平東路666巷1~30號,67.21,,鄉村區,乙種建築用地,1090423,土地1建物1車位0,全,三層,透天厝,住商用,加強磚造,0700212,150.72,6,2,1,有,無,5400000,35828,,0.0,0,未登記建物;,RPROMLLLQHPFFGH86DA,150.72,0.0,0.0,無,桃園市平鎮區平東路666巷1號,24.912895,121.239926,3
340,平鎮區,房地(土地+建物)+車位,德育路二段121~150號,21.48,其他,,,1090623,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971001,160.85000000000002,3,2,2,有,有,7500000,46627,坡道平面,0.0,0,,RPVNMLMLPHPFFGH17DA,72.98,2.92,7.75,有,桃園市平鎮區德育路二段121號,24.94251342,121.21937463,13
341,八德區,房地(土地+建物)+車位,仁德路61~90號,24.69,其他,,,1090628,土地3建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040427,137.92000000000002,2,2,2,有,有,6120000,44374,坡道平面,34.7,0,,RPWOMLSKQHPFFFH87DA,57.64,0.0,9.78,有,桃園市八德區仁德路61號,24.934894,121.287607,13
