鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
台東市,土地,德安段631~660地號,611.93,其他,,,1090806,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7400000,12093,,0.0,0,其中一筆為道路用地包含公共設施保留地用地;,RPQNMLPLQHPFFAV87DA,0.0,0.0,0.0,無
卑南鄉,土地,利家段6781~6810地號,75.0,,特定農業區,農牧用地,1090803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,2667,,0.0,0,農作物;,RPVNMLKLQHPFFAV87DA,0.0,0.0,0.0,無
台東市,房地(土地+建物),青海路三段1巷38弄31~60號,221.23,,特定農業區,甲種建築用地,1090716,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1070822,326.69,5,2,6,有,無,9400000,28773,,0.0,0,,RPQNMLKKQHPFFAV27DA,308.11,18.58,0.0,無
台東市,房地(土地+建物),博物館路1~30號,50.81,,,,1090730,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1090303,87.02,2,2,2,有,無,2830000,32521,,0.0,0,,RPVNMLLKQHPFFAV87DA,65.54,5.99,0.0,有
台東市,土地,普優瑪段871~900地號,348.62,住,,,1090811,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4200000,12048,,0.0,0,,RPSNMLOKQHPFFAV87DA,0.0,0.0,0.0,無
台東市,房地(土地+建物),博物館路1~30號,62.82,,,,1090730,土地1建物1車位0,一層,五層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1090303,103.95,3,2,2,有,無,3830000,36845,,0.0,0,,RPQNMLLKQHPFFAV37DA,80.47,7.93,0.0,有
台東市,土地,台東段1~30地號,50.5,其他,,,1090717,土地1建物0車位0,,,其他,,,,0.0,3,2,2,有,無,2000000,39604,,0.0,0,未登記建物;,RPWNMLKLPHPFFAV87DA,0.0,0.0,0.0,無
台東市,房地(土地+建物),富岡街52巷1~30號,66.88,,鄉村區,乙種建築用地,1090819,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,0680101,58.72,4,2,2,有,無,3500000,59605,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPQOMLPLQHPFFAV97DA,58.72,0.0,0.0,無
台東市,土地,台東段1~30地號,160.0,其他,,,1090818,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5278400,32990,,0.0,0,政府機關標讓售;,RPTNMLQLQHPFFAV28DA,0.0,0.0,0.0,無
台東市,土地,知本段8341~8370地號,2500.0,,特定農業區,農牧用地,1090730,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,1200,,0.0,0,,RPQNMLRLQHPFFAV08DA,0.0,0.0,0.0,無
東河鄉,土地,南河段781~810地號,10079.51,其他,,,1090602,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,30500000,3026,,0.0,0,,RPRNMLSKQHPFFBV28DA,0.0,0.0,0.0,無
東河鄉,房地(土地+建物),南東河211~240號,101.57,其他,,,1090817,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0820317,129.83,2,2,2,有,無,5500000,42363,,0.0,0,,RPQNMLOLQHPFFBV87DA,127.16,0.0,2.67,無
