鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
南屯區,建物,臺中市南屯區河南路四段350巷1~30號,0.0,住,,,1090713,土地0建物1車位1,十七層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831122,134.5,3,2,2,有,有,有,19000,141,坡道機械,0.0,0,租金含管理費。車位面積無法分算。,RPPPMLTLPHPFFCB56CC
西屯區,房地(土地+建物),臺中市西屯區臺灣大道三段361~390號,18.96,其他,,,1090629,土地1建物1車位0,見其他登記事項,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000121,174.97,4,2,3,有,有,有,76058,435,,0.0,0,,RPUPMLTLPHPFFCB07CC
東區,房地(土地+建物),臺中市東區建德街418巷16弄31~60號,290.0,工,,,1090720,土地1建物1車位0,見其他登記事項,3,廠辦,住工用,加強磚造,0750701,348.54,0,0,0,無,無,有,50000,143,,0.0,0,含增建或未登記建物。;,RPRPMLTLPHPFFAB56CC
西區,房地(土地+建物),臺中市西區模範街34巷1~30號,22.07,住,,,1090613,土地1建物1車位0,五層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0841121,140.41,3,2,2,有,有,有,16500,118,,0.0,0,,RPPQMLTLPHPFFAB09CC
南區,房地(土地+建物),臺中市南區東興路一段1~30號,5.84,住,,,1090629,土地1建物1車位0,十二層,32,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0950622,126.09,3,2,2,有,有,有,20000,159,,0.0,0,,RPWQMLTLPHPFFAB17CC
南區,房地(土地+建物),臺中市南區建國北路二段8巷1~30號,17.89,住,,,1090630,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810213,78.5,2,2,1,有,有,有,9000,115,,0.0,0,,RPXQMLTLPHPFFAB27CC
豐原區,房地(土地+建物)+車位,臺中市豐原區三豐路一段61~90號,15.05,商,,,1090629,土地2建物1車位1,十二層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060816,91.07,2,2,1,有,有,有,15500,191,坡道機械,12.33,500,,RPTOMLTLPHPFFDB96CC
大里區,建物,臺中市大里區德芳南路306巷1~30號,0.0,商,,,1090717,土地0建物1車位1,七層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0930611,135.49,3,2,2,有,有,有,25000,185,坡道平面,21.77,0,租期內含免租裝潢期。租金含管理費。,RPXOMLKMPHPFFIB07CC
南屯區,房地(土地+建物)+車位,臺中市南屯區文心路一段1~30號,30.06,住,,,1090701,土地1建物1車位1,二十層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030626,330.03999999999996,4,2,3,有,有,有,53000,161,坡道平面,26.89,0,,RPVOMLKMPHPFFCB09EC
南屯區,建物,臺中市南屯區大墩路31~60號,0.0,住,,,1090716,土地0建物0車位0,一層,5,店面(店鋪),住商用,鋼筋混凝土造,0710802,82.06,0,0,0,無,無,無,25000,305,,0.0,0,,RPXOMLKMPHPFFCB09CC
